Character,Line
Hermes," Your body may be as perfectly-sculpted as it was 20 years ago when you whupped my fat ass every time we met. But today, I feel lucky."
Leela," Wait, this could be a good thing. That weaponized virus made the sickly little tree grow big and strong."
Farnsworth, Don't worry. They'll be fine once the tranquiliser wears off.
Leela, So what did you get me?
Fry, The spoon's in the foot powder.
Bender, Who threw that?
Zoidberg," It's funny. You live in the universe, but you never do these things till someone comes to visit."
Fry, I get it!
Fry," No, I'm not! Oh, wait, I am. But my point remains valid!"
Farnsworth," Yes, she's a wonderful ship, all right. As beautiful now as the day I got botched laser eye surgery. Now, that's odd. What's the fuel gauge doing on the fl... Great Godzilla's gonads! Who wasted precious fuel? Answer now or be punished."
Farnsworth," In your time yes, but nowadays, shut up! Besides, these are adult stem cells harvested from perfectly healthy adults, whom I killed for their stem cells."
Bender," God, yes, Elzar."
Hermes, Santa!
Bender," Yeah. Maybe it just learned to talk as a parlour trick, like Fry."
Leela," Hey, watch it! You'll put somebody's eye out!"
Leela," Yeah, you almost ate me once. I was in your mouth for five minutes."
Farnsworth," Leela, evolution has programmed our fabulous male brains to take anything anybody else thinks is important and make it bigger. Have you seen my new 301-inch TV?"
Fry," Oh, yeah? Could a dream take you dancing in a Venusian garden?"
Bender," Give me the keys, Magoo."
Bender, Look at these swanky tombs! These people really know how to die.
Fry, Firing torpedo number three!
Fry, Zero. One. One. One. Zero. Zero. One. One!
Zoidberg," Not too bad. Last year, I took a bus trip to the Grand Canyon. Later, I'll show you the pictures."
Fry," Amy, tend to the widow Pac-Man."
Leela, Since when are you performing at children's parties?
Leela," Oh, Lord."
Farnsworth," Come on, Zoidberg, I passed it right to you."
Bender," Ah, quit your bellyaching and take it like a robot."
Farnsworth," Don't be jealous. Without his special hat, Guenter might be no more intelligent than you."
Leela," How can you call the Native Martians ""stupid""?"
Leela, Then you'll be fired--
Hermes, I can't compete with that.
Fry, OK.
Fry," Alright, let's get to work."
Fry," Hey, cool! Dark side of the moon!"
Bender, A little? You're screwier than my Aunt Rita. And she's a screw!
Fry, Wow! You're some guy who eats at Fishy Joe's?
Amy," Aw, pooh! We're even younger!"
Leela, So he just ran away in the middle of the exam?
Leela, No.
Amy, Yeah!
Zoidberg, Hmm. We'll need to have a look inside you with this camera. Guess again.
Fry, Now do you believe me?!
Bender," You did it, Fry!"
Bender," So lonely. Poor, sad Bender."
Fry, Leela? What are you guys doing here in the year 4000?
Bender," True, but at least I don't have the hiccups anymore. What up?"
Hermes," You been hittin' the Red Stripe, woman!"
Bender, Wait. I don't even have DNA. Why am I screaming?
Bender, I just wanted to be part of the moment.
Farnsworth," Oh, uh, what? I'm awake, I'm awake!"
Fry," What, Bender? Is something wrong?"
Bender, Memory?
Bender, Bingo!
Bender," Ah, let me bus that for you, gentlemen. No, what I meant to do was--"
Fry, The year 4000 is severely disappointing. I miss the year 3000 when life was simple and brains flew through space and everyone ate lasers.
Amy," You miss him, too?"
Farnsworth," That makes the most sense of all. Look at the planets it's destroyed so far.  First came XXX, the nude beach planet.  Then Poopiter. €$!#%&"" comes on screen.] And finally that world that can't be mentioned in polite company."
Leela," Zoidberg, I'm gonna put my boot so far up your cloaca, you'll be... Ow!"
Farnsworth," We're almost there. The crystals are beginning to engorge. I can't quite reach. Fry, grab onto my easy-fit waistband. Just a few more inches. Come on, really wedgie it on in there. So, that's why they call me the Catman."
Leela," Oh, crud. I knew there was something I meant to do today."
Fry," I'm sorry, Leela, I can't go on any further. Just leave me to die in that barn over there."
Fry, Yee-haw!
Bender, You... You're leaving? But why can't Yivo just move in with us? We'll put a cot in Europe.
Leela, A puppy? Nibbler loved to eat puppies.
Amy," Sorry. I thought I saw a tentacle, but it was just a harmless land squid. I better have some cocoffee."
Bender, That's puffin talk. Now follow me!
Bender," Aw, jeez with this, hey?(?)"
Zoidberg," Uh, OK. How much do I have to invest?"
Farnsworth, Phew!
Fry," Lucy Liubot, if I don't survive the corn, I want you to know that I love you as much as a man can love a computerised image of gorgeous celebrity. Which it turns out is a lot."
Bender," Sorry, it's not quite finished."
Bender, Saved you.
Farnsworth," Scruffy, what is that tiny Bender doing in my soup?!"
Amy," Ew, that is so gross!"
Fry, I've had better.
Bender," and  ...doorstop,"
Hermes," Scram, you lousy green snakes! Here, Leela. Take this and use it to shoot those guys."
Bender, I can fetch.
Bender, The costume contest! The costume contest!
Amy, Einstein was right.
Leela, This sort of thing always happens with office romances.
Fry, But you just said--
Farnsworth," The snail itself is composed of cells, molecules, atoms..."
Fry, What? Who possibly think you're stupid?
Farnsworth," But you could get a new body! You could have a rich, full life!"
Leela," Professor, we've talked it over and everybody thinks you're too old."
Fry," So, uh, Flexo. Sorry about crushing your body like that. You OK now?"
Farnsworth, What?
Fry," Oh, my God!"
Bender, Who did?
Leela," Fry, I know those cookies are fresh-a-licious but they produce an awful lot of trash."
Bender, Frying pans! Cast-iron frying pans!
Amy, Way to go.
Bender," Hmm. Those peewees think I'm God, huh? Hard to blame 'em! I am the Metal Lord. Who are you?"
Bender, You're lookin' good to Flexo tonight.
Hermes," You're a crazy, penniless, lobster doctor. No combination of you should be a comedian."
Bender," Calm down, Leela. You can vent tonight on your blog."
Fry, I'm sorry.
Leela, But he's just a tool to make your life easier. Like a socket wrench or a burglar's kit.
Zoidberg," Only $14.99 for a two-record set. Two records! Oh, Zoidberg, at last you're becoming a crafty consumer!"
Leela," Your Honour, I move for a mistrial, on the grounds that I'm also having a hot, naked affair with the foreman of this jury."
Fry, But— Bender?! What happened to you?
Amy, You again? Get away you mangy ball of Histamines.
Bender, Slide me those chicken wings. So what part of Podunk you rubes from?
Farnsworth, My name's Hubert.
Bender, I never said I wasn't a drama queen.
Amy, Look! Spirit!
Farnsworth," That's from Xmas and Robanakuh, you plagiarizing lout!"
Fry, Hm. A giant brain is basically a giant nerd. And where would a giant nerd be? The libary!
Leela," Come on, Adlai. She could really use a mom and dad."
Farnsworth, Whoa! Whoa! Woo!
Leela, Then what am I s'posed to do?
Leela," I don't have words to say how wonderful you are, Fry. I haven't felt this happy since double-soup Tuesday at the orphanarium."
Farnsworth," Oh, very well."
Fry," Well, I'm moving out!"
Bender, Hey! Don't make me go upside your head!
Bender," Yes Miss Leela, tote that space barge, lift that space bale."
Bender, But they could be meetin' anywhere!  What are we gonna do? Search building to building?
Bender," Elzar, you're my God. Please sign this sketch I drew of you. Oh, Elzar! Bless you!"
Fry," Pft, that's not scary!"
Bender, No. No! Can I have another fifty dollars?
Bender," And then the Donbot said, ""Sorry, Calculon."""
Leela," My God, we're out of that weird, crazy world and back in our regular crazy world."
Fry, How 'bout Löbrau? It has dots on it.
Hermes, I can see sideways in time.
Bender, That is 'ow you communicate!
Farnsworth," And though the world is now spinning in the wrong direction, it's good enough. Well done, Amy."
Farnsworth," Of course, that was the Panama Wormhole, Earth's central channel for shipping!"
Leela, Now he's flushed himself down the toilet? Who's he gonna flush next?
Farnsworth, Wait! What's that glistening in the chamber pot?
Leela, Fry's right. It's time to sit on Santa's lap -- and hard!
Leela," Come on, Fry. Let's go home an'—"
Fry, Stop rubbing it in!
Fry, No!
Bender," Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger."
Leela," Detonation in three, two, one."
Leela, You have a night job?
Leela, What?
Hermes," Spacewalk, people! Spacewalk for your lives!"
Leela," You keep saying that, but you have to give me something to go on or I..."
Hermes," Yes, but not the original. Bender went back in time and picked up a copy."
Fry, What? I haven't changed. Suz? Have I changed?
Zoidberg, Did someone say something about a free hot meal?
Fry," To the left! No, to the up! U-turn! U-turn!"
Hermes," There's always next year, Professor. There's always next year."
Farnsworth, Consider the philosophical and metaphysical ramifications of the--
Leela," Look, I know it's not much consolation but I understand how you feel."
Bender, No! My cheating unit malfunctioned! You gotta give me a do-over!
Bender," Well, I'm off."
Bender, Happy!
Leela, You lousy...
Fry," Previously, on Futurama."
Fry, But it's a useless antenna. It's not like he's a ham radio or something.
Leela, Now it needs to boil for a couple hours.
Farnsworth," I refuse to believe anyone is happy! Mr. West, would you mind if I examined your brain?"
Zoidberg," But if Leela should find out, her dignity sac will rupture."
Bender," Well, let's get looting!"
Bender, Here we are. Your new home.
Fry, Exactly.
Bender, Cornwood!
Bender," I'm working on my song. Hand me the Becktionary. No, no, the rhyming Becktionary."
Fry, Looks like eating rocks wasn't as dumb as you said.
Amy, Clool!
Bender, Wow! Heavy-drinking crowd! I'd better go out for more beer.
Bender," Hello, boys! Your eyes say no, but your machine gun fire says-"
Leela, Or die trying.
Leela, Halt! What are you doing in this parallelogram of space?
Fry, You mean you have to choose between a life without sex and a gruesome death?
Leela," Bender, this is stupid. Why would anyone come to you for romantic help?"
Leela, I'm willing to take that risk.
Bender," Hambone! Hambone! Hambone. Okay, hambone break's over. Back to the bedroom."
Bender," I'm back! Everyone at Kinko's was an idiot, so I just brought the original."
Fry, Yeah! Let's do those Leela things.
Fry, My God. What if the secret ingredient ... is people?
Fry, My roommate's a monkey?
Bender," No, we're fine."
Bender, Just like titanium!
Amy, Lean back more!
Fry, I think you mean hit me.
Bender," Yeah! It's gonna be fun on the bun! Y'know, Fry, of all the friends I've had, you're the first."
Zoidberg," Hello, I remembered you like superheroes so I painted you a mural on your wall. This is Father-Man. He fights crime to earn Son-Boy's respect. Is it working?"
Amy, Right on.
Bender, In that case - let the dancing begin! Hey you guys are good. How the hell do you do that??
Farnsworth, Hold out your hands and I'll remove your career chips.
Leela," Oh, sorry. Nibbler!"
Bender, Stupid rocks! Think they're so great!
Leela," Uh, ever been to Peru?"
Leela, Check!
Bender," Oh. Well, I'm just saying I'd like you to show an interest in my life, too."
Leela, Mmm! So fresh an' musty!
Farnsworth, That's because the doomsday device I shoved all up in you puts out 50 gigawatts. That's ten times your recommended--
Leela, But I saw Earth explode!
Fry," I'm sorry. Hug me, Liubot."
Farnsworth," Hmm, you!"
Fry," Well, uh, I've got 33 minutes."
Bender, Hello? Is anyone still alive? How about in the porno theatre? Don't be embarrassed. They're dead. All dead. Who would have known playing God could have such terrible consequences?
Fry," Look  I know 'e's ugly and kinda corrosive, but we can't murder someone just 'cause he's hideous an' annoying."
Bender, Now to figure out how much money I'm raking in off those twerps! Oh! I need a calculator.
Farnsworth, So you opened the record vault and the clover was gone?
Hermes," Joyous Kwanzaa, everybody."
Fry, Welshie?
Farnsworth," Come on, everyone. Perhaps some skiing will help us forget the mouldy old antics of Conan O'Brien."
Bender, Oh!
Fry," Oh, boy! It's Santa!"
Fry, SunnyD commercial.
Amy, I forgot to give you something before you left.
Bender, That's a good one.
Fry," I have no opinion. Well, good night."
Leela, It's explosive! Maybe we could escape by setting fire to the distillery and blowing this whole place to rubble! Let's get a little kindling going!
Fry, My lucky shoe!
Bender," Oh, but you can. Though you may have to metaphorically make a ""deal with the devil"". And by ""devil"" I mean ""Robot Devil"". And by ""metaphorically"" I mean ""get your coat""."
Bender, This is a story about all my friends!
Leela," Bender, this is Fry's decision ... and he made it wrong. So it's time for us to interfere in his life."
Zoidberg," Hiya! Hiya! Hiya! So what's the deal with airline food, hmm? They offer you two choices, but they're always outta one. Uh, by the way, we're outta both choices."
Bender," You're going down, my friend! Down Under!"
Fry," Bender, if you say the A-word, you'll blow this planet straight to the H-word!"
Farnsworth, What's going on in here? Oh. Now I'm really outraged.
Hermes," Off on your first delivery, eh? You be careful, my little tinkler. Remember we used to call you that, huh? Tinkler?"
Bender, Six-to-three? I beat the spread!
Bender," Guys, you'll never believe what happened. First I was God, then I met God!"
Leela, Listen. Just go behind those garbage cans. I'll stand guard.
Bender," Y'know, I don't recall having done anything for a while. But I still feel like I deserve a smoke. Hey, cool, the air's on fire."
Leela, Maybe we ought to do something nice for him.
Bender, Just hang on! I'll take care of that fire!
Bender, Yup.
Leela," Actually, I guess I'm starting to associate it with the pleasure of beating people up."
Hermes, Mm.
Amy," I can't figure why she's so nice to you, Fry."
Fry," Keep going, we're right behind you."
Amy, Sploops!
Hermes," Uh, he's my pencil sharpener."
Leela, What the hell happened?
Leela," Right, right. You have to stop this madness."
Hermes," Good Lord, man! What kind of temporary woman are you?"
Farnsworth," That question is less stupid, though you asked it in a profoundly stupid way. What would happen if Fry never came to the future?"
Hermes," Don't worry now, Amy!"
Leela," Moose, Mandy; this is my friend Fry, from the surface."
Farnsworth, And the good news keeps on coming. Behold my latest invention.
Leela," Oh, Fry! You must be alive; I've never been treated so romantically by my own imagination before."
Leela, Get out of my office!
Fry, I'd prefer someone from the era of shaved underarms. Do you have anything with more of a Lucy-Liu-feel to it?
Leela," Listen. We actually came down here to find our pet, Nibbler. He got flushed down the toilet."
Zoidberg, You stay out of my dumpster!
Bender," Rest in hell, Crapville!"
Farnsworth," I really shouldn't agree to things I don't understand, but I'm slightly thirsty."
Leela," Fry, are you alright? What happened?"
Bender," Perfect. Viewers of the world, do smoking and drinking on TV really make me cool? Of course they do. How 'bout committing crimes and violence? Again, the answer is ""yes"". But do we really want our kids exposed to that kind of trash on TV? I say absolutely not! Uh ... on the other hand, most, perhaps all the blame, rests with the parents. That's right, you! And so I ask you this one question  Have you ever tried simply turning off the TV, sitting down with your children, and hitting them?"
Fry, Just leave me alone.
Bender, Hey hold on a second I forgot to deliver the package.
Farnsworth," In each gastro-survival kit, you'll find a rain slicker, a disposable fun camera, and something to protect you against bacteria -- a harpoon!"
Hermes, Oh!
Leela," I hate to pop your blimp-like ego, but you're not perfect."
Bender, Hit the deck!
Zoidberg, What category are they on?
Leela," Fry, you can't bid against Mom; she's the richest, most powerful person in the world. And she's so adorable."
Hermes, These are mighty tasty!
Farnsworth," My God, this is an outrage! I was going to eat that mummy! Fry has got to go!"
Farnsworth," This is uncomfortable and humiliating. Now, if they could put it in the form of a suppository."
Leela," I vote my 10,000 shares for the Professor."
Bender, Too exact if you ask me. Tear it down and try again. But this time don't embarrass yourselves.
Farnsworth," I just need to reduce it down into this pickle jar, toss in a bay leaf to impress those stupid judges."
Fry, We've decided to work together.
Farnsworth," Happy birthday, young Nibbler."
Fry," Morgan, come back! He's stuck in a loop."
Fry, Bender! Are the steam cells working?
Farnsworth," Forget it, you pixilated pirates. We need those quarters to do our laundry."
Bender," Well, it was worth a shot."
Bender, Guys! Guys! Guess who just got commissioned as a tugboat!
Amy, Leela!
Fry, Why don't you just remove my tattoo?
Zoidberg," Yeah, come down off your round, white pulpit! You're just gonna eat that thing, anyway!"
Leela," Really? What type is she? You know, blonde, or Chinese, or Cyclops?"
Fry, Just stwoke its fwffy fur.
Zoidberg, I'm not the Tunneling Horror.
Farnsworth," Yes, I see. Something involving that many big words could easily destabilise time itself."
Leela, Professor! Can't you examine my brain without removing it?
Zoidberg, Or maybe a doctor?
Fry," That's it! You can only take my money for so long before you take it all, and I say enough. I've got one dollar left, and this one I'm holding on to! Oh, no you don't! I may not know much about horses but I know a lot about doing anything for one dollar! If you think bad luck can defeat me then you don't know my name is Philip J.--"
Fry," Alright, alright. If it'll make you happy, I'll overthrow society."
Amy," Look, everyone wants to be like Germany but do we really have the pure strength of will?"
Zoidberg," They come to feast after the frenzy. Once my species passes on its genes, it dies."
Fry, See you guys Monday!
Hermes," There, there, mon. It's gonna be okay. You are Bender, which is something Inspector 5 will never be."
Bender," Shinier than yours, meatbag!"
Bender, I may have a burgling familiarity with it.
Fry, Mightiness? Are you off your nut? I just got kidnapped by a bunch of guinea pigs.
Hermes," Perhaps the Professor's files can clear things up. ""Citation for public nudity"", ""Conspiracy to commit public nudity"". Aha! A new will! Naming ... ... you as his sole heir."
Leela," Well, you can't expect me to write it here, with everyone talking so loudly about how great I am."
Farnsworth, That's not good enough.
Fry, We just 'ave to find the Nerd Search '88 satellite!
Bender," Ah, it's nothing a lawsuit won't cure."
Bender, So what's your problem?
Leela, It's not a big deal.
Bender, Oh! No!
Bender, So we can leave early?
Fry," That's not an astronaut, it's a TV comedian. And he was just using space travel as a metaphor for beating his wife."
Fry, Almost there. Just two more bottles.
Bender, He's pending for a bending.
Hermes," Wait a second, I'm not big-boned, I'm just fat."
Hermes, This is torture. The fever. The chills. And the sweating! Amy's horrible sweating!
Leela, No!
Leela," If this is anything like killing that pigeon on my balcony, we've got our work cut out for us."
Fry, I hid it in a secret hiding place whose location I never told anyone. Not even Scruffy.
Zoidberg, Scalpel. Blood bucket. Priest. Next patient.
Amy, Let's all take her out tonight. There's lots of great places to meet people.
Zoidberg, And I'm his friend Jesus!
Zoidberg, He's good.
Farnsworth," Oh, I've been there. Lots of times!"
Bender, But--
Bender, All that and a small wiener? This guy's got it goin' on.
Leela," Fry, you idiot. Ever since I was abandoned on Earth I've been searching for who my people are and where they come from. Then I finally meet another Cyclops and you blast him. You wrecked my one chance to learn who I am!"
Fry, And here I am.
Amy, Invented what?
Bender, Yeah?
Fry," Uh, jeez, don't get upset. I mean, OK, I outwitted you, but--"
Fry, Oh my God! We have to go down and rescue him.
Farnsworth," Yes, well, these things happen. Fortunately the sphereoboom is still safe."
Farnsworth, So stay with me until the symptoms start. Then... Put me out of my misery. You must swear!
Fry, You're gonna be the ships cook?
Farnsworth," So? Lots of important inventions are made from toilet paper tubes. Microscopes, the internet, tentacle polish..."
Fry, I'm as worthless as this trash can.
Fry, There's our man!
Fry," Uh, this is a bit awkward.  Or is it?"
Leela, Not another dream! Fry's jacket! The one he was buried in! My dream was real! He's alive!
Zoidberg," Yo, yo, yo! Whassup, whassup! Give up the rock!"
Bender," You idiot, I'm not a cannon!"
Leela, But this electricity abuse crossed the line. You almost killed us.
Zoidberg, Hooray! People are paying attention to me!
Zoidberg, Aha!
Bender," And from now on, you're all named Bender Jr.! Lookie here! My first government stipend cheque! 12 baby humans, 1200 wing-wangs!"
Fry, Yay!
Leela, But that's the best shot of the day!
Fry," You know what I like best about you, Umbriel? You find me fascinating even when I'm not claiming to be a jewel thief or a lion tamer."
Farnsworth," Thanks. Say, where did you get that lantern?"
Bender, Hey! That galaxy's signalling in binary. I gotta signal back. But I only know enough binary to ask where the bathroom is. You speak English?
Farnsworth," Oh, fuff."
Farnsworth," da Vinci was history's greatest artist and inventor. Voilà! He invented flying machines, war engines, submarines."
Hermes, Bender saved.
Hermes, My Manwich!
Leela, We don't have to stand here and take abuse from a gross nerd.
Amy," Well, there goes the neighbourhood. There goes another neighbourhood."
Fry, It's good to be home.
Hermes, Very well.
Amy, Kappa Kappa Wong.
Fry," Excuse me, have you seen a giant brain?"
Fry," Wow, a whole planet of old people. Where is it?"
Farnsworth, Deciphering that ID code is critical.  I'll be in the Chamber of Understanding.
Bender, You're right. I'm a lost cause.
Zoidberg, He was the only one of you who never struck me.
Farnsworth, Wonderful.
Amy, The city council renamed it in 1975. Ooh! Those are great shoes!
Zoidberg, Host-man! Host-woman! I'm having a wonderful time!
Bender, More like three lockers and a sink!
Bender," Oh, and while you're there, pick me up a few credit card numbers."
Bender," My roommate's gone. And all he left behind was an eyelash and three skin flakes. Oh, what's the point?"
Fry," Mr. Nimoy, I came as soon as I heard what happened centuries ago. I can't believe your show was banned."
Leela, This is all a big load. I was the one trying to save the Popplers. You were sucking them down like the fat hog you are and you were stepping on them for fun. You both should be in here instead of me.
Bender, ...Can do 'most anything!
Fry," Leela's not a killer, and she's not some chick. She's the chick I love. And don't tell her I called her a chick, or she'll kill me."
Fry, I can't swallow that.
Leela, No problem. The ship's fixed except for the cup holder and I should have that operational within 10 hours.
Farnsworth," Yes, that sequence of words I said made perfect sense. We really should tell Bender there's nothing to be afraid of."
Amy," Well, I guess we failed. But what matters is, we tried our best and we looked good doing it."
Leela, I said pet him.
Fry, What?
Fry, That's not how it happened.
Fry," Oh, so it's a little safer than skateboarding."
Fry, That's ridiculous. Mr. Peppy doesn't eat bones. I raised 'im on a simple diet o' Brussels sprouts an' mixed soda.
Bender," Hmm, sewers. Thinking, thinking, thinking."
Leela, No!
Farnsworth," Oh, my! There's a frog on a bump on this log that I found in a hole in the bottom of the sea!"
Leela," Well I, uh, I thought I might like him on a full stomach."
Fry, I can't believe it! How'd you all end up here?
Leela, Keep cool. She's just like any other player. She puts on her sports bra one arm at a time.
Fry," Thanks, eagle eye."
Bender, But why?
Leela, This planet is the real Rumbledy-Hump. And these creatures are the real Humplings. All I did was write down their adorably repetitious hijinks.
Amy, Not where it counts.
Fry," Why couldn't she be the other type of mermaid, with the fish part on top and the lady part on the bottom?"
Bender," Shut up, square! I'll just be a minute!"
Farnsworth, No. It must have something to do with those time particles I used to grow the Supermen. Time and space are ripping apart at the seams.
Leela," Thank you, Professor. I'm happy that Bender can finally feel my pain."
Bender, Eh.
Amy, They're doing something downstairs. We've got to find out what.
Amy, Yes.
Fry, No! It wasn't me!
Zoidberg, That pig over there is wearing the same sandals as me.
Farnsworth, Ouch! That's going to bleed when my heart beats.
Bender," I prefer the term ""love machine""."
Farnsworth, Isn't it obvious? You are!
Bender," Coming through, watch your heads!"
Fry, She sure does.
Bender, Whoa!
Leela, Does it really work?
Farnsworth, Whatever.
Fry," I'm so sorry I ratted you out, but, you know, after two weeks down here, I'll truly understand the plight of the mutant people."
Fry," Well, you're cuter that way."
Bender, This mob's with me.
Bender," Those marvellous scammers sure scammed us, huh?"
Hermes," There, there, wife. Everything will be all--"
Fry, He still sounds sorta old. Sorta real old.
Bender," I'm a-comin' Ow! Lousy primitive body! Oh, why didn't I get that upgrade? I'm an outdated piece of junk!"
Fry, That was the old Fry. He's dead now.
Bender, Hide me!
Farnsworth," Duh, I know! Let's play the lottery!"
Bender," Then good day, madam! We hope to see you soon for tea."
Fry, He's right! I've gotta start investing wisely.
Leela, It's a great mammal! See? It's got whiskers! And I saw it lactating earlier. Wait. Who said that?
Leela," I just don't get it. Who was this Ted Danson, and why would you pay $10,000 for his skeleton?"
Bender," Hey, I got a busted ass here, I don't see anyone kissing it."
Farnsworth, Nooo!
Fry, Wow! Nude hot-tubbing? That's all I need to hear about Freedom Day!
Leela, How does it work?
Bender," What do you say, folks? Hot or not?"
Fry," Um, let me think. Come and knock on our door, nuh, nuh, nuh, nuh, nuh, nuh. Uh, Mr. Roper--"
Hermes, Now look at all the work I gotta do! Ow!
Hermes, Babylon's bells! I tallied almost 300 bananas on this entertainment product. Now you put 'em on and have fun.
Bender, Wow.
Fry, My nose is an aphrodisiac? I'm gonna drop a barf!
Leela," Oh, Lord, not Robanukah."
Bender," Ahh, yes, I'm here to repair my horse."
Fry," Leela, listen. You're the most beautiful woman I've ever known."
Amy," OK, it's your turn."
Bender, I'm a real toughie!
Fry," Alcohol fuels my power cells. And as a mighty robot, I-- Beep."
Fry, What? What are you talking about?
Fry, It's been two weeks. You wanna play tic-tac-toe again before we eat our shoes?
Amy, Snuh-uh! You're making us look like jerks in front of the other genders.
Zoidberg, Eh! It's all my favourite patients. And also Captain Tucker. Pow!
Leela," You're both alcoholic, whore-mongering, chain-smoking gamblers?"
Farnsworth, I'm OK then.
Fry, Wow! I never would have thought of that!
Amy, What about crying?
Leela," Hey, great idea!"
Fry," I'm walking on sunshine! Oh-oh-oh! I'm walking on sunshine! Oh-oh-oh! That a boy, Seymour! Right here waiting for me as always. Just like that huge mushroom in my shower."
Fry, Stop the cloning.
Leela, It's like I'm looking at an exact robot duplicate of myself.
Bender," Get it off! Get it off! Get it-- Uh-oh! How many roads must a man walk down, before you-- Keep those things off of me! Magnets screw up my inhibition unit!"
Amy," Leela, you're crushing me with your rock-hard butt."
Fry, Aw! Aren't you a fuzzy wittle guy?
Fry, I feel awful. But it was worth it to catch an' kill this baby fish.
Hermes, Impossible!
Fry, That's my clover! Yancy stole it!
Leela," Just ... my left hand? Um, uh--"
Leela, Admit it! You don't care about the inner me at all!
Hermes, No!
Hermes," Oh, heavens, no! We apologise, with nice, cheap words!"
Farnsworth," We'll form a search party. Now, we'll need oxygen."
Farnsworth," Now, it's not hard to spot a phoney Internet come-on. ""Get rich quick x7 q""? Phoney. ""Lose weight with space parasites""? Phoney. What's this? I've won the Spanish National Lottery?"
Bender, The last human ghost. But robot ghosts?
Farnsworth, Let's just say it'll put you young whippersnappers in your place!
Leela," Jumpin' Joe an' golly jeeper, I got one gigantic peeper. Sassafras an' banana oil, I'm a bee-youtiful purple-haired goyl."
Leela," This is unbelievable. I thought you were a furry little moron. But here you are flying an adorable spaceship. If only you could talk. Wait! I understood that! You say you're transmitting your thoughts directly to my brain. You say those awful flying brains are making everyone on Earth stupid? Oh, stupider. And you go on to say that we're headed for your home planet where your race has lived since the beginning of the universe? So, how did the universe begin? Then the meaning of existence-- So every religion is wrong!"
Leela," It figures. Who else but Zapp Brannigan would be judging the most chauvinistic, degrading, dehumanising--"
