Character,Line
Farnsworth, I'm sciencing as fast as I can.
Bender, Hey. We're just a stone's throw from Tijuana. See?
Fry," So, where is this egg?"
Bender, Forget it! You can't tempt me.
Bender, Duh!
Fry, Good. Good.
Bender, Mommy!
Fry, Nope!
Bender," And that is why they call me Bender the Magnificent! Hey, where'd everybody go?"
Bender," Just 'cause I can't move my arms and legs,"
Fry, In New York? Bathrooms.
Fry, No kidding.
Bender, Pansy!
Fry, And another thing  You're using an awful lot of make-up there.
Fry," For God's sake, censor it!!! CENSOR IT!!!"
Fry," Come back, Bender! It's working!"
Leela, It is pretty sickening.
Zoidberg, They're tastier than an unguarded penguin nest. What do you call them?
Fry, Please let us live! We'll put out milk and cookies for you!
Amy," You mean, ""along gender lines""?"
Amy, So whatever happened to this seven-leaf clover?
Zoidberg, He looks radiant!
Farnsworth," Ah, Fry, I see you've met Guenter!"
Leela," Really? Y'know, I heard that banking industry regulations are really very simple."
Leela, Wow! Now this is fantastic!
Bender, Or toss me into a trash can...
Amy, Aw! You want your diapey changed?
Hermes," No, we're not going anywhere. I can't abide all this bee-on-bee conflict. It's time to African-Americanize these honeybees. Listen up, bees. It's Kwanzaa, a time of Umoja."
Farnsworth," I was thirsty from the flight! I drank swamp water! Look, Zoidberg. You're a loyal friend."
Fry," Professor, we're all sick of your upbeat attitude."
Zoidberg," Bad news, friends. My shell ran."
Hermes, Move forward. Walk into the light.
Hermes, We should do something!
Bender, Really?
Fry," Oh, dip!"
Leela, Me? Award? Him? Me? Good?
Bender," Whoa, whoa! No one wants to count rocks more than me. But our mission is not complete. Not so long as Robot 1-X torments me with his obvious superiority. Ready the catapult, Sinclair. Aim for their power lines. They're the devil's veins and electricity is his blood."
Fry, Do you think we should?
Bender, I am Bender. Please insert girder.
Bender, I mean three-thousand-eighteen rat kidneys.
Fry, It's a fool proof plan. They can't sign the wedding license if I give them a pen with no ink.
Bender," Hey, sometimes a guy gets lonely."
Leela, Who are you?
Leela, But you have no idea what life forms might be evolving out there.
Leela," Oh, I do."
Zoidberg, Enough already with the banging and the swashbuckling.
Farnsworth, We?
Fry," OK, you can have my nose."
Farnsworth," Shizz, baby. So paradox free time travel is possible after all."
Fry, Maybe later.
Farnsworth, Stand back.
Fry, Not really.
Zoidberg, What's going on? Is this angry yelling or busted-hearing-aid yelling?
Bender," Well, time for this robot to get back to work."
Fry, Anchovies?
Leela," OK, almost got it. Steady. Steady. Don't panic."
Fry, Then I'm goin' in after him.
Amy," We're lucky even to play as guests, Leela. Dad's club has a very strict ""No girls allowed"" policy."
Bender," Hush, little brewski, Don't you leak, Daddy wants to drink for at least a week."
Hermes," Line up, people! Everyone take a shovel and one sixth of the planet. We'll meet back here in 50 years, our bodies broken and our lives wasted."
Leela," So, your real name is Lord Nibbler? That's a coincidence."
Fry," I find this post-apocalyptic wasteland very confusing. Seriously, I'm weirded out."
Fry," Um, I don't mean to be rude, but it's kind of hard to take you seriously when you say junk like ""grok"" and ""junk."""
Fry, What'd they die of?
Fry, Indeed so. Most indeededly.
Amy," Well, that probably won't happen this time."
Hermes, You rotten kids!
Bender," Yes, Moon pa?"
Bender," What the heck, I'll treat myself."
Bender, I'll get you fixed up. That's fine.
Fry," Look, up ahead."
Fry, I'll take a small Slurm.
Amy," Thanks for saving my life, Kif. You're my hero."
Leela, Are not!
Leela, I'm coming in after you!
Bender," My fellow leaguie-weegies, the time has come to overthrow humanity!"
Bender, The Maltese Liquor?! The strongest and most valuable malt liquor ever brewed! And soon it will be mine... I'm sorry. You were sayin'?
Bender, I can't believe it! I'm gonna die.
Fry, Yay!
Fry," Uh... Heroes don't do drugs! Except for Drugman, I guess."
Hermes, That's my boy!
Bender, I miss Nibbler.
Fry," Well, you never know unless you try. Like, I didn't know if I could swallow a softball, so I gave it my best shot and voilà! Wait, that's not it. Ah, thar she blows!"
Leela," It's you and me, ponytail."
Farnsworth, I don't want to go through that! I want you to kill me!
Leela, We better whisper.
Leela," Hello, Awesome Express; the rude, crude delivery dudes. How may I direct your call? What's that? You haven't gotten your paper? In how long?"
Fry," Yo, yo, Bezender! What up?"
Bender, I prefer two. That way we can still be a horse for Hallowe'en!
Bender, Catering.
Bender, There's your problem. The Professor put the counter on upside-down.
Zoidberg, She also took home two rolls of Scotch tape.
Fry, You jerk. I thought I was your best friend. What kind of two-timing kill-mobile are you?
Fry," How much time does he have left, Professor?"
Fry, She had to have four other boyfriends! I guess she never thought I'd become tentacle pope of the world!
Leela, He seemed nice.
Bender," Whoa-oh, yeah!"
Bender, Two.
Fry, Whoa!
Fry, Who's the perp?
Leela, I do love a man in uniform. I mean a uniform that doesn't involve short pants.
Fry, What's happening? Space cow?
Bender, I'm not allowed to vote.
Amy, I knew you wanted a son! Why do you think I became a miniature golf champion? Why do you think I wear these stupid boys' sweat suits?
Fry, Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.
Fry," Uh, hello, Mrs. Mellonger."
Hermes, Life. Death. Either way I'm demoted to a tiny cubicle.
Leela, Bird's don't crawl.
Hermes, It's a bird!
Bender," What's the matter, Fry, you scared? Or just crazy?"
Farnsworth," Defeat is ours. If we can't communicate with these bone-jelly ghosts, we're doomed!"
Fry, You have the most beautiful eyes I think I...
Farnsworth, You mean you don't remember?
Fry," Now that he's gone, I realise how valuable a Robot life can be... When it belongs to my best friend."
Fry, You think they'd let me use it to look for Bender?
Fry, There's just something I have to find out.
Fry, And we can tie these caterpillars together to make bow strings for bows and arrows.
Fry, But won't that crush my bones?
Hermes, Rage dump!
Bender, Ooooooh!
Fry, I'd like the 2003 model.
Bender, Hey! That's my brain!
Fry, So what do you nerds want?
Fry, Why do they call it that?
Leela," I know you spent a lot of money on this place, Fry, but it's awfully primitive. The floors are made of such hard wood."
Hermes," Mon, it must take forever to brand all those cattle."
Hermes, It's nobody. Now sign that will I gave you! He's not here.
Bender, Eat it or beat it.
Farnsworth," Wait a moment. If we could scavenge the right parts from these robo-dinos, I might be able to construct a rudimentary spaceship to get us off this planet!"
Fry, Aha! You can't escape it!
Farnsworth, My life is over.
Fry," Oh, no! The gorilla! That's a par-four!"
Fry, So let's keeping going forward.
Hermes," Stick to someone else, you windy barnacle!"
Farnsworth, You can't suddenly know something just by assembling a committee of words. That's it. I'll assemble your committee!
Fry, Ih.
Zoidberg, The President is gagging on my gas bladder! What an honour!
Fry," It was just a dream, Bender. There's no such thing as two."
Fry," Well, that's eight hours."
Fry," Oh, God, I'm gonna lose the bet!  I'm gonna have to swim in the juice of the puke-me-poop-yu!"
Zoidberg, So what's the problem? Just get down on your claws and do the apology dance.
Leela, Since when are you my agent?
Bender, Is this seat taken?
Fry," Where are we? Also, when are we?"
Hermes, It's getting cold and smelly. My odor-eaters(?) are going critical.
Bender," Well, no point letting her go to waste."
Fry, Mutants? That's the kind of thing you are.
Hermes, No need to thank us. Your shocked stares of gratitude say it all.
Hermes, Ya can't do that!
Bender, Oh.
Bender, Then I guess you learned a valuable lesson  Don't mess with Earth.
Fry," Sorry, I'm late."
Fry," Finally, a happy ending."
Leela," But it's so round, so hideously round."
Farnsworth, That a girl! If they don't take him back we can keep him as captain.
Fry," I'm sorry, Bender, but there's just not enough room."
Zoidberg, One ship is left only.
Bender," The secret was scratching really, really hard!"
Fry, You mean peer pressure?
Bender," No, next to that. A half-eaten employee directory. Inspector 5's home address. His ass-ias is gracias!"
Bender," Uh, hey, I'm no square but isn't that counter-indicated by my operations manual?"
Bender," Hey, chumps and chumpettes. Did you get the bomb out? Can I go back to saying the word I love to say?"
Bender," Bandidos, eh? Aw, this is great! 'Cause I happen to have a flawless Spanish accent! I will see. Adios Padre! Come, Jesus, my faithful ... chee-huey-hua. Tonight we eat ... gee-wack-a-mole by the El Rio!"
Amy," Bender, part of being human is having self control."
Farnsworth," Now be careful, Fry. And if you kill anyone, make sure to eat their heart, to gain their courage. Their rich, tasty courage."
Zoidberg, Eh!
Hermes," Kudos, Bender. You got mangled and now you're a singer. Both our dreams came true."
Fry," Well, the doctor says I'm as healthy as a crab. Can I go into space now?"
Fry, Whoa! Check out that guy. He makes Speedy Gonzales look like Regular Gonzales!
Amy, Yeah!
Bender, I hacked myself inside-out and now the entire universe is my processor.
Fry," Yes, please!"
Fry, What are you talking about? There's all kinds of robots down there.
Zoidberg," You can't hunt a Yeti by yourself, sir. It's suicidal."
Bender," I know it hurts, buddy. But at least you're not in a sick relationship with a robot anymore."
Bender," All in! I mean, fold. Whatever."
Farnsworth," Good God. Just knowing we're in the same genus makes me embarrassed to call myself homo. Now, get out and tell Mom thanks for the crystal."
Bender," Hey, wait a second. I've got the perfect solution."
Farnsworth, Ten...
Fry, We don't work for you anymore!
Hermes, I'm afraid it's both.
Fry, Hmm?
Bender, Whoa! What a cheesy effect!
Bender," No, I think I may have hurt someone. Oh, Lord! I'm on the verge of a nervous meltdown."
Farnsworth," Go, Johnny! Go! That's an order!"
Zoidberg, Why?
Hermes," It's the biggest Jamaican platter I've ever seen. Jerk chicken, jerk beef, jerk pork. Is there any meat this man can't jerk?"
Bender, I'm Bender. You know? The lovable rascal.
Farnsworth," Listen up, Hollywood. We're an exciting, new mob."
Bender, You could drop dead. That'd show 'em.
Zoidberg, My head is spinning.
Leela," Nice ass, ass."
Leela, It is very nice. I just wish Amy and I didn't have to wear these sexist badges on our melons.
Bender," Uh-oh, jealousy. You think you're so hot!"
Leela, So what happened to Project Satan?
Leela, You took this from Fry's locker?
Fry, What?
Bender, Um...
Fry," Never mind, Professor. She came to."
Fry, We're rescuing you.
Fry," Well, at least I learned Leela's a lost cause. I give up."
Bender, Alright!
Zoidberg," Excuse me, I believe I'm the doctor."
Zoidberg, Stop!
Fry, Oh. Oh!
Fry, Voices always yelling. Who - who said that? I'm not insane. Stop it. Stop talking in me!
Fry, Admit it! You're disgusted by me!
Bender," Ah, what the heck?"
Hermes, Dr. Zoidberg brought us.
Fry, You too? Will you be my friend?
Leela," Come on, Fry! Die with dignity!"
Leela, Creeped out.
Farnsworth," Think, Zoidberg. You must remember something!"
Fry, No wonder you've been staying at the back of conga lines lately.
Fry, Hey! Now what am I supposed to watch and drink all day?
Farnsworth," Oh, please! That's preposterous science-fiction mumbo-jumbo. Guenter's intelligence actually lies in his electronium hat which harnesses the power of sunspots to produce cognitive radiation."
Farnsworth," No refunds! Shut up and bow your heads! Oh, mighty Isis—"
Leela," Me, neither. Now, Sex and the City, that's funny."
Bender," It's gonna be fun on a bun, in space."
Bender," Lookin' good, meatball!"
Fry, But she'll crush you like a worm ... crushing a smaller worm.
Fry," Well, it turns out I loved her, but I wasn't in love with her."
Fry, I dunno. Fry?
Leela," I'm here and I'm getting along just fine, thank you. My walk to work today just took a little longer than usual. Nibbler took me through the zoo for some reason."
Bender," I dunno. Let me see. Oh, my God, you're Beck! I'd get up to shake your hand and steal your wallet but my crappy body crapped out on me."
Fry, Ow!
Fry," Thanks, doll."
Amy, That's odd. This hand here doesn't belong to anybody. And it's pointing a knife at James the Lesser!
Farnsworth," Go on, you dummy."
Amy, Look out! It's pulling us through a field of spacebergs!
Leela," No! Nibbler, come back!"
Farnsworth," Now I'm sick! I shudder to think what this cold will do to me. Yesterday, I was nearly killed by a tight hat!"
Fry, My vision's fading. I think I'm gonna die.
Fry," We'll never find that disk will we, Bender?"
Bender," Listen up, 'cause I've got a climactic speech! You, cameraman, keep the camera rolling. You, director, gimmie my motivation."
Leela," You've changed, Fry."
Leela," Uh, Professor--"
Fry, That's the plan.
Bender, I believe that qualifies as ill. At least from a technical standpoint.
Amy," Bender, you're famous!"
Leela, Mom! Dad!
Fry," Alright, diamond. You won those rounds. But I've got an ace up my hole."
Fry, Okay.
Fry," Look, Leela, I'm sorry. I never should have dragged you out here."
Leela," Oh, sorry."
Zoidberg, Or one!
Leela, Especially from everybody.
Leela, It's not fair. I just hope that dumb chicken is ashamed of himself.
Bender," Silence, you cur! Puff out that brisket!"
Bender, I accept your challenge.
Farnsworth, The problem with both parties is that they always want to give your tax dollars to the less fortunate.
Fry, Come on!
Amy, Call me.
Farnsworth," I know you're all very upset, especially Bender."
Amy," Crappin' A! Still, I'm sure the women are having an even harder time."
Leela, Whoa. Maybe you're right. I only meant to slap you twice.
Fry, It's nice! But there's still somethin' I don't like about that guy. My dad always said you could tell a lot about a man by the rigidity of 'is shins.
Fry," That's the same reason they kept me out of school. So, no one even cared that I was gone?"
Fry, My God! It's full of ads!
Fry," Yes there is, Bender. Bender was a lot of things to a lot of people. But, looking back, the number one thing I can say about him is this, and simply this  Bender was my friend."
Bender, A what kind of disturbance?
Bender," You honour me, Chairman Koji."
Bender, Faster!
Zoidberg, Deviled egg?
Fry, Morgan? It's 3am.
Fry, Bender? Bender?
Amy," Oh, Kif, it's so romantic I can't even wait! I'm gonna wear it right now."
Leela," You can't have whiplash, you don't have a neck."
Hermes, Sweet giant anteater of Saint Anita! The Professor's been eaten by giant anteaters!
Bender, Um ... uh...
Bender," Hey, let me try. Whoa! That gives me a headache."
Fry," Amy, are those gear imprints on your sweatpants?"
Farnsworth, Exactly! It's none of our concern.
Bender, Set a course for adventure!
Fry," It's an ale! Five gallons, six ounces!"
Farnsworth," Miss McNeal, I'm afraid I must decline your offer of marriage. For, you see, I'm dying. Cough, then fall over dead."
Bender," Ahoy, mateys! I shanghaied us some hearty grog. Arr! The laws o' science be a harsh mistress!"
Leela, Bender! Romance isn't about money.
Leela," Fry, that's so sweet. Let me see."
Fry," Yes, please."
Bender," And even though the computer was off and unplugged, an image stayed on the screen. It was ... the Windows logo!"
Farnsworth," Bad news, everyone! Look at this infinite series representing the mass of successive generations of Benders."
Fry," No. No! Oh, my God! It's Pauly Shore!"
Farnsworth," This explains everything! Even the Big Bang that created the universe! All that's left is the mathematics! Put down h-bar, uh, carry the infinity, and— My-reka! There it is! The Grand Unified Theory! Reducing all the laws of nature to a single equation!"
Bender," Sorry you struck out, sausage link."
Bender," Suicide booths! Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself."
Farnsworth," Sounds great, Hermes! Whatever you say. Let's ditch him and go to the movies!"
Bender, Hang on a second Fry. I don't remember you being that ugly.
Fry, Ew!
Fry," Zoidberg, a diplomat? The list of things I've heard now contains everything."
Hermes," That's a plus sign, you pointy-haired loony! Quit thinking you're a robot!"
Amy," Oh, no!"
Fry, Smells like strawberries.
Bender," Oh, jeez! I went to high school with that guy!"
Bender, Never!
Bender," Shut up, Zoidberg. He's right, Leela."
Fry," Happy birthday, Leela. I'm really sorry I'm gonna be one minute late, because we are testing the professor's dumb time machine. But you know, happy birthday and all and... ... I love you. My card!"
Fry, He's made of candy.
Fry, Melllvar's got a spaceship!
Zoidberg, How do I look?
Bender," Wow! I'm finally gonna see my favourite chef, TV's Elzar. Oh this is the greatest nanosecond of my life. No, this one is-- No, this one. Wait ... that one was slightly worse. Ah, so far, so good on this one."
Bender," I've had it up to here with this place. I'm off to the Head Museum to hang out with classy heads like me who appreciate the finer things  poetry, philosophy, hats. So long, coffin stuffers! Uh, could one of you coffin stuffers please carry me?"
Leela, What happened to the buggalo?
Leela," You see, beneath my obsession lay an even deeper obsession. An obsession so strong, it allowed me to overpower the beast's will and pilot it through space and time. An obsession... With completing my delivery!"
Leela, She doesn't need an operation! She's fine the way she is!
Hermes," Oh, that's big!"
Zoidberg, No.
Fry, Nooo! Are you people satisfied? This gentle visitor is dying! And we'll never even know why he came.
Leela," Let's go, you murderer! Fry, help me lock 'im up!"
Farnsworth, They haven't aged a day! The whale must have some kind of Möbius colon that endlessly recycles time and space!
Leela, You really don't want me to be captain anymore?
Farnsworth, I was out fleeing some robots and the silvery moonlight glinting off their bloody claws made me think of you.
Bender, To the beat y'all! To the beat y'all! I'm dancin' a jig wid ma feets y'all!
Fry, I'm not prejudiced.
Bender," Now, if you'll excuse me. I'm off to slay the werewolf of Goblin Mountain."
Bender, Guys! Guys! You're never gonna believe this!
Fry," Hey, Dr. Zoidberg, what's that jazz on your head?"
Farnsworth, Horray denied! Need I remind you that robosexual marriage is illegal!
Fry," Hear, hear!"
Leela," Maybe we should wait till afterwards, in case neither of us comes back."
Amy, Uh-huh.
Leela," Hey, why weren't you Kong donkeys outside cleaning up?"
Bender, Here's your chequebook.
Fry, This is gonna be a cakewalk!
Fry, That's not the wheel.
Hermes," Oh, this is great!"
Leela," Come on, Fry, don't be scared, I'm sure at least one of us will be spared, So just sit back, enjoy the ride."
Hermes, Oh!
Farnsworth, Diamondillium it is.
Leela," Actually, you're on time."
Fry," I've never seen a supernova blow up, but if it's anything like my old Chevy Nova, it'll light up the night sky!"
Fry, So?
Farnsworth," Leela, have you seen the keys to the spaceship?"
Fry, Nah. I read in Newsweek that she drinks human blood.
Leela, Face it Fry. Baseball was as boring as mum and apple pie. That's why they jazzed it up.
Bender, Can we have some money?
Farnsworth, Shut up! I was gonna say that!
Farnsworth," Gadzooks! Bender's hard drive no longer contains any of his old memories. When the Feds bumpkinised him, they completely wiped out his old identity!"
Zoidberg, The three coworkers I liked... all dead!
Fry, I'm as mad as I've ever been.
Bender, I'm dying. I need mouth to ass resuscitation.
Fry," Pine needles. Oh, man, this is great! Hey, as long as you don't make me smell Uranus."
Bender," 200,001?"
Farnsworth," Just slow it down, I'll shoot Hitler out the window. Darn! I hit Eleanor Roosevelt by mistake. Okay. Nearing our era again. Here we go. Careful this time. Careful."
Fry, That was a mistake.
Amy, Of course! And it only breaches into our 3-D universe to hunt and fill its lungs with vacuum!
Farnsworth, They're not fans.
Fry," Let my people stay! [He shoots a beam of energy at the wave of sewage, parting it."
Bender," That's the world's greatest robot artist, Vincent van Gobot. He was built without an ear, but then he went crazy and had one installed."
Bender," Bam yourself! Hey, who are they?"
Bender, Vámonos!
Fry, Isn't that the same machine that makes noses?
Amy, Gross!
Hermes," Come on, woman! Just pick something."
Bender, Let's commence preparations for rumbling!
Fry, But who could possibly bend such a huge pipe?
Fry, Why?
Hermes, Uh ... no.
Amy," Hey, that's me!"
Leela, We're here. I followed the bouncing balls. I'll keep the chopper at a safe altitude while you parachute down.
Bender," Eh, he's gone. He said you should keep wasting your life though."
Amy," Fry, I can't believe you're working with my dad against Leela. How can you claim to be her friend and still want her in jail?"
Fry, Since when have you been in the biz?
Fry, Wait! Listen. I'm usually the first guy to toot my own lower horn--
Fry," Run, Leela! They're bouncing right at us!"
Bender, Nobody knows!
Fry," Yeah, ever since I was six."
Farnsworth," Oh, I don't have time for this. I have to go and buy a single piece of fruit with a coupon and then return it, making people wait behind me while I complain."
Bender," Uh-oh, nerds!"
Fry, What's that?
Farnsworth, OK.
Fry, Here it is. The Breakfast Club soundtrack.
Hermes, And here's something. Uh-oh. It's another one of Fry's dogs.
Bender," Aw, hang in there, folks. I'll bet before you know it, you guys'll be-- That is so wrong. They can't just melt down broken robots. Not right when they're kissing my ass."
Leela, Impressive! But it does sorta support my you-are-dead theory.
Fry, Ow! Ow! Ow! Ow!
Leela, Wait .. I ..
Farnsworth, Blimey. I've never felt so ashamed to be a Farnsworth.
Farnsworth," Do you realise what this means, Fry?! Your pet's not dangerous after all!"
Leela, Wait! I want you to look me in the eye and promise you won't get behind the wheel without some kind of alcoholic beverage in your hand.
Bender, I'm a big robot and I want a big cereal!
Amy, Guk! I hate subtitles. Alien films are so pretentious.
Leela," I'm sorry, Bender. What do you want me to put on the glass? Okay, if we survive."
Bender, I like him better this way.
Farnsworth, You're that Bubblegum Tate?
Amy, Fry!
Leela," Nibbler, you... You can talk?"
Fry," Oh, right, cool. C'mon in, roomie! What the--?"
Fry, How do we do that?
Leela," It's because I haven't been exercising.  If only this tree hadn't fallen on me by chance.  Oh, dear God!"
Bender," Sure do, I'm in the magical land of Cornwood, frolicking with wenches."
Leela, My God! Even the Professor's been bent.
Fry, OK.
Leela," Uh, Professor, are we even allowed in the Forbidden Zone?"
Fry," That's it, Amy, we have to talk. Zoidberg, you drive."
Fry, I wanna go to that museum!
Farnsworth," Good news, everyone! Today you'll be delivering a crate of subpoenas to Sicily 8, the Mob Planet!"
Leela, Wait. Didn't you say Mom keeps the robot control in her bra?
Zoidberg, Amy?
Fry," Hey, Project Satan! Over here! I'm a blind pedestrian! 20 points!"
Amy, So what do you think of that guy by the bar?
Bender," Shut up, baby, I know it!"
Fry," The side that kicks your twisted, metal ass!"
Leela," Dad, you drink? No. Not even then."
Fry, But how can I stop it stop me stop him?
Bender, A-gurgle bufwoozle didoodi houdini.
Fry, Don't tell me how to spend my money.
Zoidberg, Father-Man away.
Fry, What do we do? Should we go for it?
Hermes," No, boy, stop! It's too low! Your backbone can't take it!"
Leela," Oh, Adlai, this is the most beautiful moment of my life!"
Fry, Like Fry! Like Fry!
Bender," This time, you'll have all the human comfort. We'll get a couple of toilets, some food cookers, maybe a puppy."
Bender," Those are waves, jackass. It's supposed to be a river!"
Leela," I know it's not what you want to hear, but I think this is a mistake."
Fry, You're right. Let's do this now and let's never regret it.
Leela," You didn't need to buy me a present, Fry."
Fry," Oh, no! Any sign of Leela or Amy?"
Leela," On the other hand, the stupid fish did eat us. You guys wanna do this?"
Fry," I beg you, Mrs. Astor, if you truly want to honor your husband's memory, treat these people with dignity, as he did."
Fry, Maybe we can figure it out.
Amy," Way to go, Professor. The plan worked."
Fry," Look  I just 'ave a common cold! It'll be gone as fast as I can sneeze, hurl, and squirt it out."
Zoidberg," Forgive me, my friend."
Leela," Sometimes a captain needs to do those things. Besides I, I thought we were friends."
Farnsworth, Okay. I'll just nudge us forward exactly one minute into the—
Bender, You suck!
Fry," Yes! He chose me! He's trying to kill me! Leela, I'm so happy! Oh, thanks, Bender. Too tight! Too tight!"
Leela," Alright, here's the plan  Zoidberg, pick up the pieces. Everyone else, take five."
Bender, Cheese it!
Bender, As usual! Run away!
Hermes," That thing doesn't have emotions, Fry. Its brain is the size of a walnut."
Leela, What are you doing?
Hermes," Shouldn't you get that, Professor?"
Bender," Maybe I did, Fry. Maybe I did. Or maybe I rescued one last mini-Bender to fold stupid, ugly sweaters while I laughed at him. I guess we'll never know."
Amy, Ow!
Farnsworth, I watched the skies for weeks. With only occasional breaks to tender my grief diarrhea.
Farnsworth," If we fly into it, it could take us trillions of light years away. There's no knowing if we'll ever return."
Fry, I sure do! That's the real robber and I'll never forget his name as long as I live. And that name is--
Leela, Done.
Fry, Yay!
Fry, Yeah!
Hermes," I'm just glad my fat, ugly mama isn't alive to see this day."
Bender," Sir, I volunteer for a suicide mission. Aw, cut it out!"
Farnsworth," There's just one, small problem, and it's a big one. I hid the crystal and I can't remember where."
Fry, Don't worry about it.
Fry, Einstein is a hard name to remember.. Ow!
Amy," Are you doing alright over there, Leela?"
Bender, Lose the Celine Dion tickets and you got yourself a deal.
Leela," Alright, enough of this. There's the atom!"
Bender, Wait! I know you. You're the sleazebag who owns the Ultimate Robot Fighting League.
Fry," Look, the food isn't what's important."
Fry, Let's dump it up!
Zoidberg, Stop! You don't understand!
Bender, I'll need accomplices. A sexy vamp to distract and tie up the guard.
Hermes, Yes!
Amy, Do you mind if we sleep with you?
Amy, Come on! Let's go check on 'im!
Bender," Shut up, doofy. I'm rescuing you."
Fry, I love these things!
Hermes," I think we've all learned a thing or two about sexual stereotypes. While my head's slowly dying 'cause I'm not in a jar yet, you bimbo!"
Zoidberg, A very big kid.
Leela, But it's set 800 years in the past!
Farnsworth, What a fool I was. If only I had made the effort to develop a cleaner-burning robot. But I was tired and in love.
Fry, Sure. That's the kinda sap I like.
Leela," Mom! Dad! Oh, I'm so sorry I got you kidnapped by a crazy madman who tried to feed you to piranhas."
Fry, No!
Fry, I watch TV. It's the next best thing to bein' alive.
Fry," Alright, here's the plan--"
Bender," The pie is ready. You guys like swarms of things, right?"
Fry, That's Leela!
Bender," Oy, this guy."
Leela, What are you doing there?
Fry, Alright. I give up. I guess I'll just go home and marry a skunk.
Fry," Thirty days hath September, April, June and ... wonder ... is that peanut butter ... what am I gonna do? Oh, God! What? What? What is it now?"
Bender, Faster! Faster.
Leela, Who are you?
Leela, Dark matter oil? What if we hit something? The tanker could leak.
Fry," It's my invention, we do it my way! Now all we need is something to pull it and we're set!"
Fry, Woohoohoohoo... ... cares? I'm having dinner with Leela.
Leela, Why can't you accept his help?
Leela," Leela Leela.  I've been thinking, Fry, if I lost you, I don't think I could stand it, either.  I'd probably build a copy of you, too. As long as Robo-Leela's not a jealous type like me, thing will wor—"
